chunk_id,document_id,section_id,rule_id,chunk_index,chunk_text,retrieval_text,metadata_json,source_page,source_reference,language,embedding
PRGI_2025_CHUNK_01,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_01,PRGI_2025_R01,0,"The proposed titles should preferably contain more than one word formed by combining distinct and meaningful terms. Generic, or root word titles shall not be registered. Generic or Root words are those words which cannot be broken down further. Examples: Manthan, Darpan, Inspire, Success, Khulasa, Rahasya, Katha, Herald, Malar, Mukhi, Nukkad.","PRGI title admissibility guideline 1: Generic/root word titles. The proposed titles should preferably contain more than one word formed by combining distinct and meaningful terms. Generic, or root word titles shall not be registered. Generic or Root words are those words which cannot be broken down further. Examples: Manthan, Darpan, Inspire, Success, Khulasa, Rahasya, Katha, Herald, Malar, Mukhi, Nukkad.","{""rule_number"": 1, ""rule_type"": ""generic"", ""page"": 1}",1,"Supplied official PDF, page 1, guideline point 1",English,
PRGI_2025_CHUNK_02,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_02,PRGI_2025_R02,0,The proposed titles must be unique and shall not be phonetically or visually similar to any existing registered title whether in the same language across India or any other language within the same State.,PRGI title admissibility guideline 2: Phonetic and visual similarity. The proposed titles must be unique and shall not be phonetically or visually similar to any existing registered title whether in the same language across India or any other language within the same State.,"{""rule_number"": 2, ""rule_type"": ""similarity"", ""page"": 1}",1,"Supplied official PDF, page 1, guideline point 2",English,
PRGI_2025_CHUNK_03,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_03,PRGI_2025_R03,0,"Titles should be meaningful and clear. Titles with negative connotations with religious sentiments, obscene, absurd or offensive to public sentiments or those that could be misused with words like “crime”, “corruption” etc. will not be registered.","PRGI title admissibility guideline 3: Meaning, clarity and offensive/public-sentiment connotations. Titles should be meaningful and clear. Titles with negative connotations with religious sentiments, obscene, absurd or offensive to public sentiments or those that could be misused with words like “crime”, “corruption” etc. will not be registered.","{""rule_number"": 3, ""rule_type"": ""semantic"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 3",English,
PRGI_2025_CHUNK_04,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_04,PRGI_2025_R04,0,"Abbreviations, acronyms or numerals will be considered only if they are meaningfully and appropriately attached with other words.","PRGI title admissibility guideline 4: Abbreviations, acronyms and numerals. Abbreviations, acronyms or numerals will be considered only if they are meaningfully and appropriately attached with other words.","{""rule_number"": 4, ""rule_type"": ""structure"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 4",English,
PRGI_2025_CHUNK_05,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_05,PRGI_2025_R05,0,"Titles that combine existing registered titles whether in full, in part or by rearranging words or inserting non-distinctive terms that do not create a significantly different title will not be registered.","PRGI title admissibility guideline 5: Combining or rearranging existing titles. Titles that combine existing registered titles whether in full, in part or by rearranging words or inserting non-distinctive terms that do not create a significantly different title will not be registered.","{""rule_number"": 5, ""rule_type"": ""similarity"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 5",English,
PRGI_2025_CHUNK_06,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_06,PRGI_2025_R06,0,"Titles denoting the name of an individual should not be the names of the owner or publisher of the proposed periodical. Examples: “Rajan Times”, “Deepak Samachar”, “Jitendra News”.","PRGI title admissibility guideline 6: Owner/publisher individual-name restriction. Titles denoting the name of an individual should not be the names of the owner or publisher of the proposed periodical. Examples: “Rajan Times”, “Deepak Samachar”, “Jitendra News”.","{""rule_number"": 6, ""rule_type"": ""ownership"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 6",English,
PRGI_2025_CHUNK_07,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_07,PRGI_2025_R07,0,"Titles containing non-text characters, or any form of signs, symbols including mathematical symbols (like “+”, “*”, etc.), pictographs, photographs, hallmarks, logos, monograms, phonograms, emojis, etc.","PRGI title admissibility guideline 7: Non-text characters, signs and symbols. Titles containing non-text characters, or any form of signs, symbols including mathematical symbols (like “+”, “*”, etc.), pictographs, photographs, hallmarks, logos, monograms, phonograms, emojis, etc.","{""rule_number"": 7, ""rule_type"": ""symbol"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 7",English,
PRGI_2025_CHUNK_08,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_08,PRGI_2025_R08,0,"Titles formed by insignificantly prefixing or suffixing generic or repetitive terms to an existing title, such as city/state names, periodicity or language, articles (A, An, The), prepositions or adjectives, will not be approved. Examples include The Times, Daily, Dainik, Weekly, V/Wartha, Aaj, Today, Express, News, Khabar, Samachar, Bulletin, Diary, India, National, Rashtriya, “Saptahik Weekly”, “Sandhya Evening”, “Daily Dainik News”.","PRGI title admissibility guideline 8: Insignificant prefixes/suffixes. Titles formed by insignificantly prefixing or suffixing generic or repetitive terms to an existing title, such as city/state names, periodicity or language, articles (A, An, The), prepositions or adjectives, will not be approved. Examples include The Times, Daily, Dainik, Weekly, V/Wartha, Aaj, Today, Express, News, Khabar, Samachar, Bulletin, Diary, India, National, Rashtriya, “Saptahik Weekly”, “Sandhya Evening”, “Daily Dainik News”.","{""rule_number"": 8, ""rule_type"": ""similarity"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 8",English,
PRGI_2025_CHUNK_09,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_09,PRGI_2025_R09,0,"The proposed title shall not be registered if it is found to be in violation of any judicial pronouncement including matters involving copyright, trademark infringement, contempt of court and defamation.","PRGI title admissibility guideline 9: Judicial pronouncements and legal violations. The proposed title shall not be registered if it is found to be in violation of any judicial pronouncement including matters involving copyright, trademark infringement, contempt of court and defamation.","{""rule_number"": 9, ""rule_type"": ""legal"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 9",English,
PRGI_2025_CHUNK_10,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_10,PRGI_2025_R10,0,"Titles containing words which can be construed as affecting the sovereignty and integrity of India, Security of the State, International Relations, Public order, Morality and public decency, incite unrest or disorder etc. will not be registered.","PRGI title admissibility guideline 10: Sovereignty, security, international relations, public order and morality. Titles containing words which can be construed as affecting the sovereignty and integrity of India, Security of the State, International Relations, Public order, Morality and public decency, incite unrest or disorder etc. will not be registered.","{""rule_number"": 10, ""rule_type"": ""legal"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 10",English,
PRGI_2025_CHUNK_11,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_11,PRGI_2025_R11,0,"Titles similar to any national symbol, national motto, or suggesting misleading association with Central Government/State Governments/Local bodies/Constitutional bodies/Statutory bodies or are violative of “The Emblems and Names (Prevention of Improper Use) Act, 1950” or any other law in force will not be registered.","PRGI title admissibility guideline 11: National symbols, mottos and misleading association. Titles similar to any national symbol, national motto, or suggesting misleading association with Central Government/State Governments/Local bodies/Constitutional bodies/Statutory bodies or are violative of “The Emblems and Names (Prevention of Improper Use) Act, 1950” or any other law in force will not be registered.","{""rule_number"": 11, ""rule_type"": ""government"", ""page"": 2}",2,"Supplied official PDF, page 2, guideline point 11",English,
