rule_id,document_id,section_id,rule_number,rule_title,rule_text_exact_from_pdf,rule_type,deterministic,condition_json,action,source_page,source_reference,status
PRGI_2025_R01,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_01,1,Generic/root word titles,"The proposed titles should preferably contain more than one word formed by combining distinct and meaningful terms. Generic, or root word titles shall not be registered. Generic or Root words are those words which cannot be broken down further. Examples: Manthan, Darpan, Inspire, Success, Khulasa, Rahasya, Katha, Herald, Malar, Mukhi, Nukkad.",generic,True,"{""checks"": [""generic_root_word_check""], ""requires_dataset"": []}",FLAG,1,"Supplied official PDF, page 1, guideline point 1",current
PRGI_2025_R02,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_02,2,Phonetic and visual similarity,The proposed titles must be unique and shall not be phonetically or visually similar to any existing registered title whether in the same language across India or any other language within the same State.,similarity,False,"{""checks"": [""phonetic_similarity"", ""visual_similarity""], ""requires_dataset"": [""DATASET_1""]}",REJECT_OR_REVIEW,1,"Supplied official PDF, page 1, guideline point 2",current
PRGI_2025_R03,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_03,3,"Meaning, clarity and offensive/public-sentiment connotations","Titles should be meaningful and clear. Titles with negative connotations with religious sentiments, obscene, absurd or offensive to public sentiments or those that could be misused with words like “crime”, “corruption” etc. will not be registered.",semantic,False,"{""checks"": [""meaningfulness"", ""clarity"", ""religious_sentiment"", ""obscenity"", ""absurdity"", ""offensiveness"", ""misuse_risk""], ""requires_dataset"": []}",REJECT_OR_REVIEW,2,"Supplied official PDF, page 2, guideline point 3",current
PRGI_2025_R04,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_04,4,"Abbreviations, acronyms and numerals","Abbreviations, acronyms or numerals will be considered only if they are meaningfully and appropriately attached with other words.",structure,True,"{""checks"": [""abbreviation_check"", ""acronym_check"", ""numeral_check""], ""requires_dataset"": []}",FLAG,2,"Supplied official PDF, page 2, guideline point 4",current
PRGI_2025_R05,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_05,5,Combining or rearranging existing titles,"Titles that combine existing registered titles whether in full, in part or by rearranging words or inserting non-distinctive terms that do not create a significantly different title will not be registered.",similarity,False,"{""checks"": [""existing_title_combination"", ""rearrangement"", ""non_distinctive_insertion""], ""requires_dataset"": [""DATASET_1""]}",REJECT_OR_REVIEW,2,"Supplied official PDF, page 2, guideline point 5",current
PRGI_2025_R06,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_06,6,Owner/publisher individual-name restriction,"Titles denoting the name of an individual should not be the names of the owner or publisher of the proposed periodical. Examples: “Rajan Times”, “Deepak Samachar”, “Jitendra News”.",ownership,True,"{""checks"": [""owner_name_match"", ""publisher_name_match"", ""individual_name_detection""], ""requires_dataset"": []}",FLAG,2,"Supplied official PDF, page 2, guideline point 6",current
PRGI_2025_R07,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_07,7,"Non-text characters, signs and symbols","Titles containing non-text characters, or any form of signs, symbols including mathematical symbols (like “+”, “*”, etc.), pictographs, photographs, hallmarks, logos, monograms, phonograms, emojis, etc.",symbol,True,"{""checks"": [""non_text_character_detection"", ""symbol_detection"", ""emoji_detection""], ""requires_dataset"": []}",REJECT,2,"Supplied official PDF, page 2, guideline point 7",current
PRGI_2025_R08,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_08,8,Insignificant prefixes/suffixes,"Titles formed by insignificantly prefixing or suffixing generic or repetitive terms to an existing title, such as city/state names, periodicity or language, articles (A, An, The), prepositions or adjectives, will not be approved. Examples include The Times, Daily, Dainik, Weekly, V/Wartha, Aaj, Today, Express, News, Khabar, Samachar, Bulletin, Diary, India, National, Rashtriya, “Saptahik Weekly”, “Sandhya Evening”, “Daily Dainik News”.",similarity,True,"{""checks"": [""generic_prefix_suffix"", ""geographic_prefix_suffix"", ""periodicity_prefix_suffix"", ""language_prefix_suffix"", ""article_prefix_suffix"", ""adjective_prefix_suffix""], ""requires_dataset"": [""DATASET_1""]}",REJECT_OR_REVIEW,2,"Supplied official PDF, page 2, guideline point 8",current
PRGI_2025_R09,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_09,9,Judicial pronouncements and legal violations,"The proposed title shall not be registered if it is found to be in violation of any judicial pronouncement including matters involving copyright, trademark infringement, contempt of court and defamation.",legal,False,"{""checks"": [""judicial_pronouncement_risk"", ""copyright"", ""trademark"", ""contempt"", ""defamation""], ""requires_dataset"": []}",REJECT_OR_REVIEW,2,"Supplied official PDF, page 2, guideline point 9",current
PRGI_2025_R10,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_10,10,"Sovereignty, security, international relations, public order and morality","Titles containing words which can be construed as affecting the sovereignty and integrity of India, Security of the State, International Relations, Public order, Morality and public decency, incite unrest or disorder etc. will not be registered.",legal,False,"{""checks"": [""sovereignty"", ""integrity"", ""security"", ""international_relations"", ""public_order"", ""morality"", ""public_decency"", ""incitement""], ""requires_dataset"": []}",REJECT_OR_REVIEW,2,"Supplied official PDF, page 2, guideline point 10",current
PRGI_2025_R11,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_11,11,"National symbols, mottos and misleading association","Titles similar to any national symbol, national motto, or suggesting misleading association with Central Government/State Governments/Local bodies/Constitutional bodies/Statutory bodies or are violative of “The Emblems and Names (Prevention of Improper Use) Act, 1950” or any other law in force will not be registered.",government,False,"{""checks"": [""national_symbol"", ""national_motto"", ""government_association"", ""constitutional_body"", ""statutory_body"", ""emblems_names_act""], ""requires_dataset"": []}",REJECT_OR_REVIEW,2,"Supplied official PDF, page 2, guideline point 11",current
PRGI_2025_R12,PRGI_TITLE_GUIDELINES_2025,PRGI_2025_SEC_12,12,"Government bodies, agencies, foreign governments and international organizations","Titles containing names of Government Organizations/Departments, Regulatory/Enforcement Agencies (such as “Police”, “Bureau”, “Investigation Department”, “Vigilance”, “CID”, “CBI”, Commission, Defence Establishment, etc.), Foreign Governments, International Organizations (e.g., UN, WHO, ILO) in any language, or words like Sarkar, Government, Parliament etc. or title containing the names of public welfare schemes of Central/State Governments or its organizations or local bodies which suggest a misleading association with them shall not be registered.",government,False,"{""checks"": [""government_organization"", ""regulatory_agency"", ""enforcement_agency"", ""foreign_government"", ""international_organization"", ""public_welfare_scheme"", ""misleading_association""], ""requires_dataset"": []}",REJECT_OR_REVIEW,2,"Supplied official PDF, page 2, guideline point 12",current
