section_id,document_id,section_number,section_title,page_start,page_end,section_text_exact
PRGI_2025_SEC_01,PRGI_TITLE_GUIDELINES_2025,1,1. Generic/root word titles,1,1,"The proposed titles should preferably contain more than one word formed by combining distinct and meaningful terms. Generic, or root word titles shall not be registered. Generic or Root words are those words which cannot be broken down further. Examples: Manthan, Darpan, Inspire, Success, Khulasa, Rahasya, Katha, Herald, Malar, Mukhi, Nukkad."
PRGI_2025_SEC_02,PRGI_TITLE_GUIDELINES_2025,2,2. Phonetic and visual similarity,1,1,The proposed titles must be unique and shall not be phonetically or visually similar to any existing registered title whether in the same language across India or any other language within the same State.
PRGI_2025_SEC_03,PRGI_TITLE_GUIDELINES_2025,3,"3. Meaning, clarity and offensive/public-sentiment connotations",2,2,"Titles should be meaningful and clear. Titles with negative connotations with religious sentiments, obscene, absurd or offensive to public sentiments or those that could be misused with words like “crime”, “corruption” etc. will not be registered."
PRGI_2025_SEC_04,PRGI_TITLE_GUIDELINES_2025,4,"4. Abbreviations, acronyms and numerals",2,2,"Abbreviations, acronyms or numerals will be considered only if they are meaningfully and appropriately attached with other words."
PRGI_2025_SEC_05,PRGI_TITLE_GUIDELINES_2025,5,5. Combining or rearranging existing titles,2,2,"Titles that combine existing registered titles whether in full, in part or by rearranging words or inserting non-distinctive terms that do not create a significantly different title will not be registered."
PRGI_2025_SEC_06,PRGI_TITLE_GUIDELINES_2025,6,6. Owner/publisher individual-name restriction,2,2,"Titles denoting the name of an individual should not be the names of the owner or publisher of the proposed periodical. Examples: “Rajan Times”, “Deepak Samachar”, “Jitendra News”."
PRGI_2025_SEC_07,PRGI_TITLE_GUIDELINES_2025,7,"7. Non-text characters, signs and symbols",2,2,"Titles containing non-text characters, or any form of signs, symbols including mathematical symbols (like “+”, “*”, etc.), pictographs, photographs, hallmarks, logos, monograms, phonograms, emojis, etc."
PRGI_2025_SEC_08,PRGI_TITLE_GUIDELINES_2025,8,8. Insignificant prefixes/suffixes,2,2,"Titles formed by insignificantly prefixing or suffixing generic or repetitive terms to an existing title, such as city/state names, periodicity or language, articles (A, An, The), prepositions or adjectives, will not be approved. Examples include The Times, Daily, Dainik, Weekly, V/Wartha, Aaj, Today, Express, News, Khabar, Samachar, Bulletin, Diary, India, National, Rashtriya, “Saptahik Weekly”, “Sandhya Evening”, “Daily Dainik News”."
PRGI_2025_SEC_09,PRGI_TITLE_GUIDELINES_2025,9,9. Judicial pronouncements and legal violations,2,2,"The proposed title shall not be registered if it is found to be in violation of any judicial pronouncement including matters involving copyright, trademark infringement, contempt of court and defamation."
PRGI_2025_SEC_10,PRGI_TITLE_GUIDELINES_2025,10,"10. Sovereignty, security, international relations, public order and morality",2,2,"Titles containing words which can be construed as affecting the sovereignty and integrity of India, Security of the State, International Relations, Public order, Morality and public decency, incite unrest or disorder etc. will not be registered."
PRGI_2025_SEC_11,PRGI_TITLE_GUIDELINES_2025,11,"11. National symbols, mottos and misleading association",2,2,"Titles similar to any national symbol, national motto, or suggesting misleading association with Central Government/State Governments/Local bodies/Constitutional bodies/Statutory bodies or are violative of “The Emblems and Names (Prevention of Improper Use) Act, 1950” or any other law in force will not be registered."
PRGI_2025_SEC_12,PRGI_TITLE_GUIDELINES_2025,12,"12. Government bodies, agencies, foreign governments and international organizations",2,2,"Titles containing names of Government Organizations/Departments, Regulatory/Enforcement Agencies (such as “Police”, “Bureau”, “Investigation Department”, “Vigilance”, “CID”, “CBI”, Commission, Defence Establishment, etc.), Foreign Governments, International Organizations (e.g., UN, WHO, ILO) in any language, or words like Sarkar, Government, Parliament etc. or title containing the names of public welfare schemes of Central/State Governments or its organizations or local bodies which suggest a misleading association with them shall not be registered."
PRGI_2025_SEC_13,PRGI_TITLE_GUIDELINES_2025,13,13. Foreign geographic association,3,3,"Titles suggesting any association with a foreign country, city, or place which does not correspond to the State or place of publication of the periodical shall not be registered. Examples: “South Africa Times”, “Canada Times”, “New York Mirror”."
PRGI_2025_SEC_14,PRGI_TITLE_GUIDELINES_2025,14,"14. National leaders, Heads of Government and government functionaries",3,3,"Titles with the names of national leaders or those resembling the names of prominent national leaders, Heads of Government, and functionaries of Central and State governments will not be registered. However, names of recognized national and state political parties will be considered if applied by the concerned organization."
PRGI_2025_SEC_15,PRGI_TITLE_GUIDELINES_2025,15,"15. Satellite TV, FM Radio and Community Radio titles",3,3,"Title registered as a Satellite TV Channel/FM Radio/Community Radio Station with the Ministry of Information and Broadcasting shall not be registered unless the application is made by their owner or by their representative on his behalf. Examples: “News Nation”, “News Time”, “Aajtak News”, “Akaashvani Times”, “Dabang News”."
PRGI_2025_SEC_16,PRGI_TITLE_GUIDELINES_2025,16,16. Well-known periodical titles,3,3,Titles resembling the titles of well-known periodicals if applied by anyone other than the existing owner of the well-known title shall not be registered. This is to avoid any false/misleading impression of association with the well-known periodical.
PRGI_2025_SEC_17,PRGI_TITLE_GUIDELINES_2025,17,17. Non-periodical publication categories,3,3,"Titles using words like Ad or Advertisement, Classifieds, Tender, Calendar, Panchang, Matrimonial, Yellow pages (generally prefixed with white, pink, etc.), pamphlet, brochure, directory, or any such publication which cannot be treated as a periodical shall not be registered."
PRGI_2025_SEC_18,PRGI_TITLE_GUIDELINES_2025,18,18. New editions and ownership transfer,3,3,Registration of new editions and transfer of ownership of an existing periodical with a title falling in the categories specified under points 3 and 9 to 13 of these guidelines will not be considered.
